Order Number,Customer Name,Customer Phone,Is Delivered,Product Name,Quantity,Unit Price,Total Price,Order Date,Bill Amount
10101,Kiran,9867452312,TRUE,Shoe,2,600,1200,25-09-2023,1200
10102,xyz,7687686123,TRUE,Shoe,2,1400,2800,27-09-2023,2800
10103,Suhin,8967452310,TRUE,Belt,1,100,100,13-09-2023,2452
10103,Suhin,8967452310,TRUE,Shoe,1,400,400,13-09-2023,2452
10103,Suhin,8967452310,TRUE,Hat,4,488,1952,13-09-2023,2452
10104,Daniel,9876543110,TRUE,Shoe,3,1800,5400,03-10-2023,9100
10104,Daniel,9876543110,TRUE,Belt,6,600,3600,03-10-2023,9100
10104,Daniel,9876543110,TRUE,Hat,1,100,100,03-10-2023,9100
10105,Kastur,7894512300,TRUE,Belt,2,240,480,07-10-2023,480
10106,Avir,7788996654,TRUE,Shoe,10,5000,50000,10-10-2023,50900
10106,Avir,7788996654,TRUE,Belt,3,300,900,10-10-2023,50900
10089,Sadhya,9876543211,TRUE,Hat,5,400,2000,25-08-2023,2600
10089,Sadhya,9876543211,TRUE,Belt,3,200,600,25-08-2023,2600
10099,Kavi,7867453421,TRUE,Shoe,6,4000,24000,18-08-2023,24000
10222,Tharun,9876543210,TRUE,Shoe,10,9000,90000,30-09-2023,96500
10222,Tharun,9876543210,TRUE,Belt,10,1300,6500,30-09-2023,96500
10189,Sanil,9876543211,TRUE,Belt,13,200,600,25-09-2023,26000
10199,Kavin,7867453421,TRUE,Shoe,6,4000,2400,18-07-2023,2400
10322,Tharun,9876543210,TRUE,Shoe,10,9000,9000,30-07-2023,9600
10322,Tharun,9876543210,TRUE,Belt,5,1300,600,30-08-2023,9600
10101,Kiran,9867452312,TRUE,Shoe,2,600,1200,25-09-2023,1200
10102,xyz,7687686123,TRUE,Shoe,2,1400,2800,27-09-2023,2800
10103,Suhin,8967452310,TRUE,Belt,1,100,100,13-09-2023,2452
10103,Suhin,8967452310,TRUE,Shoe,1,400,400,13-09-2023,2452
10103,Suhin,8967452310,TRUE,Hat,4,488,1952,13-09-2023,2452
10104,Daniel,9876543110,TRUE,Shoe,3,1800,5400,03-10-2023,9100
10104,Daniel,9876543110,TRUE,Belt,6,600,3600,03-10-2023,9100
10104,Daniel,9876543110,TRUE,Hat,1,100,100,03-10-2023,9100
10105,Kastur,7894512300,TRUE,Belt,2,240,480,07-10-2023,480
10106,Avir,7788996654,TRUE,Shoe,10,5000,50000,10-10-2023,50900
10106,Avir,7788996654,TRUE,Belt,3,300,900,10-10-2023,50900
10089,Sadhya,9876543211,TRUE,Hat,5,400,2000,25-08-2023,2600
10089,Sadhya,9876543211,TRUE,Belt,3,200,600,25-08-2023,2600
10099,Kavi,7867453421,TRUE,Shoe,6,4000,24000,18-08-2023,24000
10222,Tharun,9876543210,TRUE,Shoe,10,9000,90000,30-09-2023,96500
10222,Tharun,9876543210,TRUE,Belt,10,1300,6500,30-09-2023,96500
10189,Sanil,9876543211,TRUE,Belt,13,200,600,25-09-2023,26000
10199,Kavin,7867453421,TRUE,Shoe,6,4000,2400,18-07-2023,2400
10322,Tharun,9876543210,TRUE,Shoe,10,9000,9000,30-07-2023,9600
10322,Tharun,9876543210,TRUE,Belt,5,1300,600,30-08-2023,9600
